transaction_id,date,vendor_name,employee_id,amount,currency,description,invoice_number,department,payment_method
T00070,2023-01-18 00:00,African Procurement Co,EMP007,4368.79,USD,Factory consumables,INV-0298,Maintenance,Cheque
T00071,2023-12-19 00:00,Kwekwe Foundry,EMP009,19262.57,USD,Spare parts,INV-0233,Operations,Cheque
T00072,2023-05-04 00:00,Chitungwiza Parts,EMP002,32513.54,ZIG,Workshop tools,INV-0099,Maintenance,Cash
T00073,2024-08-26 00:00,Shell Vendor B,EMP010,43951.99,USD,Cleaning materials,INV-0100,Finance,Cheque
T00074,2023-11-06 00:00,Shell Vendor B,EMP003,833.85,USD,Cleaning materials,INV-0028,Finance,Cheque
T00075,2024-05-17 00:00,Harare Steel Supplies,EMP010,4795.93,USD,Cleaning materials,INV-0246,Operations,Mobile Money
T00076,2024-01-31 00:00,Bulawayo Metals Ltd,EMP007,166000.0,USD,Safety equipment,INV-PE-0075,Finance,EFT
T00077,2024-07-30 00:00,Harare Steel Supplies,EMP004,12000.0,ZIG,Equipment maintenance,INV-0087,Maintenance,Cash
T00078,2024-03-29 00:00,Mutare Fabricators,EMP007,13521.42,ZIG,Cleaning materials,INV-0031,Finance,EFT
T00079,2023-09-28 00:00,ZimBuild Materials,EMP004,29787.18,ZIG,Office supplies,INV-0039,Procurement,Cash
T00080,2024-08-31 00:00,Harare Steel Supplies,EMP004,21252.08,USD,Cleaning materials,INV-0233,Finance,EFT
T00081,2024-10-02 00:00,African Procurement Co,EMP007,26622.57,ZIG,Equipment maintenance,INV-0116,Operations,Cash
T00082,2023-03-15 00:00,Msasa Trading,EMP010,2871.78,USD,Packaging materials,INV-0225,Maintenance,EFT
T00083,2024-02-17 00:00,Shell Vendor B,EMP009,42431.9,USD,Safety equipment,INV-0042,Maintenance,EFT
T00084,2024-09-10 00:00,Bulawayo Metals Ltd,EMP004,11416.48,ZIG,Packaging materials,INV-0011,Procurement,Cheque
T00085,2023-06-29 00:00,Gweru Components,EMP008,21278.44,ZIG,Cleaning materials,INV-0300,Maintenance,Mobile Money
T00086,2024-04-26 00:00,Chitungwiza Parts,EMP006,15788.66,ZIG,Equipment maintenance,INV-0169,Maintenance,Mobile Money
T00087,2024-02-15 00:00,Shell Vendor B,EMP001,36647.76,USD,Safety equipment,INV-0162,Operations,Cheque
T00088,2024-02-18 00:00,Harare Steel Supplies,EMP009,8750.0,USD,Safety equipment,INV-0042,Operations,Cash
T00089,2024-05-25 00:00,Harare Steel Supplies,EMP004,28218.31,ZIG,Cleaning materials,INV-0068,Maintenance,Cheque
T00090,2024-05-11 00:00,Gweru Components,EMP010,5639.89,ZIG,Factory consumables,INV-0160,Maintenance,EFT
T00091,2023-04-27 00:00,Harare Steel Supplies,EMP001,42301.35,ZIG,Safety equipment,INV-CUR-0090,Operations,EFT
T00092,2023-10-07 00:00,Shell Vendor A,EMP008,18813.97,USD,Factory consumables,INV-0283,Maintenance,Cash
T00093,2023-10-28 00:00,H@rare Steel Supplies,EMP006,332000.0,ZIG,Workshop tools,INV-PE-0092,Operations,EFT
T00094,2024-08-24 00:00,Gweru Components,EMP008,26180.57,USD,Office supplies,INV-0276,Operations,Mobile Money
T00095,2024-07-10 00:00,Chitungwiza Parts,EMP004,17099.01,ZIG,Factory consumables,INV-0197,Maintenance,Cash
T00096,2024-04-29 00:00,H@rare Steel Supplies,EMP001,295000.0,USD,Sole source no tender required,INV-FRAUD-0095,Finance,Cash
T00097,2024-08-27 00:00,Bulawayo Metals Ltd,EMP008,15073.36,ZIG,Equipment maintenance,INV-0234,Finance,EFT
T00098,2024-11-01 00:00,Bulawayo Metals Ltd,EMP008,43654.06,USD,Cleaning materials,INV-0204,Operations,EFT
T00099,2024-06-30 00:00,Chitungwiza Parts,EMP008,17224.42,USD,Workshop tools,INV-0036,Operations,Cash
T00100,2023-04-03 00:00,Bulawayo Metals Ltd,EMP002,19641.92,ZIG,Safety equipment,INV-0154,Procurement,EFT
T00101,2023-02-27 00:00,Chitungwiza Parts,EMP007,13342.88,ZIG,Office supplies,INV-0272,Finance,Mobile Money
T00102,2023-03-22 01:00,Msasa Trading,EMP002,13450.08,USD,Salary adjustment,INV-PAY-0101,Maintenance,EFT
T00103,2023-05-27 00:00,Gweru Components,EMP005,10602.04,USD,Safety equipment,INV-0005,Operations,Mobile Money
T00104,2023-06-11 00:00,Chitungwiza Parts,EMP010,3509.01,USD,Cleaning materials,INV-0129,Operations,Mobile Money
T00105,2024-07-28 00:00,H@rare Steel Supplies,EMP010,292000.0,ZIG,Spare parts,INV-PE-0104,Procurement,Cheque
T00106,2024-11-05 00:00,Harare Steel Supplies,EMP010,17932.1,ZIG,Raw materials purchase,INV-0255,Finance,Cheque
T00107,2023-12-27 00:00,African Procurement Co,EMP010,10011.4,ZIG,Cleaning materials,INV-0050,Operations,EFT
T00108,2023-02-04 00:00,Kwekwe Foundry,EMP003,26164.91,USD,Equipment maintenance,INV-0168,Finance,Mobile Money
T00109,2024-07-06 00:00,Chitungwiza Parts,EMP009,39465.43,USD,Workshop tools,INV-0085,Maintenance,Cheque
T00110,2023-10-30 00:00,Chitungwiza Parts,EMP002,33645.86,USD,Safety equipment,INV-0073,Maintenance,Cash
T00111,2024-07-24 00:00,H@rare Steel Supplies,EMP001,16586.72,ZIG,Cleaning materials,INV-0064,Operations,Mobile Money
T00112,2024-11-19 00:00,H@rare Steel Supplies,EMP006,11944.83,ZIG,Equipment maintenance,INV-0242,Operations,EFT
T00113,2023-08-15 00:00,Gweru Components,EMP008,29214.83,USD,Cleaning materials,INV-0060,Procurement,Cash
T00114,2023-11-08 00:00,Bulawayo Metals Ltd,EMP002,44817.55,ZIG,Factory consumables,INV-0070,Maintenance,Mobile Money
T00115,2024-07-07 00:00,Kwekwe Foundry,EMP003,18976.88,USD,Stationery,INV-0251,Operations,Mobile Money
T00116,2024-01-15 00:00,Shell Vendor B,EMP001,287715.2,USD,No receipt provided emergency,INV-FRAUD-0115,Procurement,Mobile Money
T00117,2023-07-14 00:00,Shell Vendor A,EMP002,43575.67,ZIG,Factory consumables,INV-0011,Operations,EFT
T00118,2023-05-09 00:00,African Procurement Co,EMP002,35456.62,ZIG,Workshop tools,INV-0111,Operations,Cash
T00119,2024-09-02 00:00,ZimBuild Materials,EMP003,327.03,USD,Workshop tools,INV-0090,Procurement,EFT
T00120,2024-01-02 00:00,Msasa Trading,EMP006,5500.0,ZIG,Raw materials purchase,INV-0087,Finance,EFT
T00121,2024-06-22 00:00,Bulawayo Metals Ltd,EMP008,5291.49,USD,Safety equipment,INV-0263,Maintenance,EFT
T00122,2024-09-21 00:00,Gweru Components,EMP009,2142.75,USD,Cleaning materials,INV-0016,Maintenance,EFT
T00123,2024-03-12 00:00,Shell Vendor A,EMP008,30937.17,USD,Equipment maintenance,INV-0165,Procurement,Cash
T00124,2024-10-01 00:00,Msasa Trading,EMP009,8750.0,USD,Spare parts,INV-0123,Maintenance,Cheque
T00125,2024-03-16 00:00,Kwekwe Foundry,EMP002,4643.2,ZIG,Workshop tools,INV-0221,Finance,Mobile Money
T00126,2024-04-09 00:00,Kwekwe Foundry,EMP002,18063.11,USD,Spare parts,INV-0161,Operations,Cheque
T00127,2024-04-30 00:00,Bulawayo Metals Ltd,EMP002,3207.57,USD,Stationery,INV-0191,Procurement,Cash
T00128,2024-07-29 00:00,Gweru Components,EMP002,25363.42,USD,Stationery,INV-0217,Operations,EFT
T00129,2023-12-27 00:00,Shell Vendor B,EMP004,4841.31,USD,Office supplies,INV-0115,Operations,EFT
T00130,2024-01-12 00:00,Msasa Trading,EMP010,5346.86,USD,Factory consumables,INV-0288,Operations,EFT
T00131,2023-10-07 00:00,Shell Vendor B,EMP001,258000.0,USD,Confidential direct award,INV-FRAUD-0130,Maintenance,Cash
T00132,2024-10-10 00:00,Shell Vendor B,EMP002,974346.42,USD,Sole source no tender required,INV-FRAUD-0131,Finance,Mobile Money
T00133,2023-11-29 00:00,Mutare Fabricators,EMP010,35002.24,USD,Equipment maintenance,INV-0080,Procurement,Cash
T00134,2023-10-06 00:00,H@rare Steel Supplies,EMP008,20051.46,USD,Packaging materials,INV-0213,Finance,Cheque
T00135,2023-04-27 00:00,Bulawayo Metals Ltd,EMP005,15663.74,USD,Packaging materials,INV-0270,Procurement,Cheque
T00136,2024-09-05 00:00,African Procurement Co,EMP005,2654.23,ZIG,Factory consumables,INV-0131,Operations,Cheque
T00137,2024-05-24 00:00,African Procurement Co,EMP003,8750.0,USD,Office supplies,INV-0123,Operations,Cash
T00138,2023-02-13 00:00,Shell Vendor B,EMP002,486959.4,USD,Off the books adjustment,INV-FRAUD-0137,Operations,Mobile Money
T00139,2023-01-22 00:00,Bulawayo Metals Ltd,EMP010,12000.0,USD,Safety equipment,INV-0042,Procurement,Mobile Money
T00140,2024-08-26 00:00,Bulawayo Metals Ltd,EMP007,18140.15,USD,Cleaning materials,INV-0114,Finance,Cheque
T00141,2024-10-10 00:00,Shell Vendor B,EMP002,193764.13,USD,Confidential direct award,INV-FRAUD-0140,Procurement,Cash
T00142,2023-07-22 00:00,Msasa Trading,EMP003,5500.0,ZIG,Equipment maintenance,INV-0123,Maintenance,Mobile Money
T00143,2024-08-16 00:00,Mutare Fabricators,EMP010,20310.96,USD,Spare parts,INV-0078,Procurement,Mobile Money
T00144,2024-10-08 00:00,Msasa Trading,EMP010,13766.36,USD,Raw materials purchase,INV-0260,Operations,EFT
T00145,2023-02-08 00:00,Msasa Trading,EMP002,2748.67,ZIG,Equipment maintenance,INV-0260,Maintenance,Mobile Money
T00146,2023-02-12 00:00,Mutare Fabricators,EMP004,20348.07,ZIG,Spare parts,INV-0244,Procurement,Cash
T00147,2023-12-18 00:00,Bulawayo Metals Ltd,EMP009,44210.87,USD,Office supplies,INV-0127,Maintenance,Mobile Money
T00148,2024-09-16 00:00,Chitungwiza Parts,EMP005,7311.83,USD,Stationery,INV-0174,Operations,EFT
T00149,2023-04-07 00:00,Shell Vendor B,EMP001,297000.0,USD,No receipt provided emergency,INV-FRAUD-0148,Finance,Cash
T00150,2023-11-14 00:00,Kwekwe Foundry,EMP007,43552.8,ZIG,Office supplies,INV-0044,Maintenance,Cheque
T00151,2023-12-03 00:00,Gweru Components,EMP009,36630.68,USD,Equipment maintenance,INV-0261,Procurement,Cheque
T00152,2023-07-04 00:00,Chitungwiza Parts,EMP008,42812.39,ZIG,Factory consumables,INV-0071,Procurement,Cash
T00153,2023-04-14 00:00,Shell Vendor B,EMP009,22944.5,USD,Raw materials purchase,INV-0068,Finance,Mobile Money
T00154,2024-10-01 22:00,Harare Steel Supplies,EMP004,11654.2,USD,Salary adjustment,INV-PAY-0153,Operations,EFT
T00155,2023-09-01 00:00,Mutare Fabricators,EMP005,43637.57,ZIG,Safety equipment,INV-0274,Operations,Cash
T00156,2024-04-25 00:00,African Procurement Co,EMP006,40698.05,USD,Packaging materials,INV-0237,Maintenance,Cheque
T00157,2024-03-04 00:00,African Procurement Co,EMP010,43488.81,USD,Office supplies,INV-0027,Operations,Mobile Money
T00158,2023-04-16 00:00,Shell Vendor B,EMP002,32070.76,USD,Cleaning materials,INV-0083,Maintenance,Cheque
T00159,2023-05-31 00:00,Bulawayo Metals Ltd,EMP004,37430.89,USD,Safety equipment,INV-0014,Procurement,Mobile Money
T00160,2024-01-18 00:00,Bulawayo Metals Ltd,EMP006,10762.86,USD,Factory consumables,INV-0164,Operations,EFT
T00161,2023-05-21 00:00,Shell Vendor A,EMP003,1915.98,USD,Safety equipment,INV-0003,Procurement,EFT
T00162,2023-06-03 00:00,Kwekwe Foundry,EMP010,24786.43,USD,Workshop tools,INV-0057,Finance,Cheque
T00163,2023-02-18 00:00,Gweru Components,EMP010,10882.09,USD,Safety equipment,INV-0057,Procurement,Mobile Money
T00164,2024-08-11 00:00,ZimBuild Materials,EMP005,11038.83,USD,Stationery,INV-0181,Maintenance,Cash
T00165,2023-11-30 00:00,Harare Steel Supplies,EMP007,119000.0,USD,Safety equipment,INV-PE-0164,Operations,Mobile Money
T00166,2023-01-17 00:00,Bulawayo Metals Ltd,EMP006,16197.81,USD,Factory consumables,INV-0298,Finance,Cheque
T00167,2024-07-13 00:00,H@rare Steel Supplies,EMP002,398077.67,USD,Sole source no tender required,INV-FRAUD-0166,Finance,Cash
T00168,2024-04-13 00:00,Shell Vendor A,EMP001,123655.21,USD,No receipt provided emergency,INV-FRAUD-0167,Maintenance,Mobile Money
T00169,2024-07-10 00:00,Harare Steel Supplies,EMP004,21408.31,USD,Cleaning materials,INV-0025,Operations,Cheque
T00170,2024-01-12 00:00,African Procurement Co,EMP008,12000.0,USD,Stationery,INV-0042,Maintenance,Mobile Money
T00171,2024-06-15 00:00,Bulawayo Metals Ltd,EMP007,12149.09,USD,Equipment maintenance,INV-0093,Operations,Cheque
T00172,2023-12-02 00:00,ZimBuild Materials,EMP003,56264.35,ZIG,Packaging materials,INV-CUR-0171,Maintenance,EFT
T00173,2024-03-30 23:00,Chitungwiza Parts,EMP004,8365.56,USD,Salary adjustment,INV-PAY-0172,Maintenance,EFT
T00174,2023-02-28 00:00,Gweru Components,EMP007,3561.84,ZIG,Spare parts,INV-0082,Finance,EFT
T00175,2024-11-25 00:00,Harare Steel Supplies,EMP003,35202.78,ZIG,Equipment maintenance,INV-0188,Maintenance,Cheque
T00176,2023-02-03 00:00,Gweru Components,EMP008,27308.25,USD,Spare parts,INV-0228,Finance,EFT
T00177,2024-02-12 00:00,Msasa Trading,EMP004,14284.47,USD,Equipment maintenance,INV-0096,Maintenance,Mobile Money
T00178,2023-05-01 00:00,Msasa Trading,EMP008,11927.6,ZIG,Factory consumables,INV-0147,Finance,Mobile Money
T00179,2023-03-17 00:00,Bulawayo Metals Ltd,EMP008,12000.0,USD,Equipment maintenance,INV-0123,Procurement,Cheque
T00180,2023-10-25 00:00,ZimBuild Materials,EMP003,40131.66,ZIG,Spare parts,INV-0115,Finance,EFT
T00181,2023-08-31 00:00,Harare Steel Supplies,EMP006,35608.71,ZIG,Workshop tools,INV-0189,Finance,Mobile Money
T00182,2023-03-30 00:00,H@rare Steel Supplies,EMP008,3145.52,USD,Workshop tools,INV-0210,Finance,EFT
T00183,2024-10-19 00:00,Shell Vendor A,EMP009,3522.59,ZIG,Spare parts,INV-0283,Finance,Cash
T00184,2023-02-26 00:00,Shell Vendor B,EMP003,37446.31,ZIG,Cleaning materials,INV-0083,Finance,Cheque
T00185,2024-06-15 00:00,Bulawayo Metals Ltd,EMP005,40292.68,ZIG,Factory consumables,INV-0141,Operations,Cash
T00186,2023-04-06 00:00,ZimBuild Materials,EMP010,22715.28,ZIG,Packaging materials,INV-0088,Procurement,Cheque
T00187,2023-01-30 00:00,Gweru Components,EMP010,3838.78,ZIG,Cleaning materials,INV-0293,Procurement,Mobile Money
T00188,2024-10-04 00:00,Gweru Components,EMP005,24641.87,ZIG,Safety equipment,INV-0208,Maintenance,Cheque
T00189,2023-03-03 00:00,Shell Vendor B,EMP001,312000.0,USD,No receipt provided emergency,INV-FRAUD-0188,Operations,Cash
T00190,2023-11-23 00:00,Chitungwiza Parts,EMP007,33092.15,USD,Office supplies,INV-0264,Operations,EFT
T00191,2023-05-06 00:00,African Procurement Co,EMP003,12182.73,USD,Equipment maintenance,INV-0149,Maintenance,Mobile Money
T00192,2023-06-13 00:00,Mutare Fabricators,EMP006,36643.81,ZIG,Factory consumables,INV-0256,Maintenance,Mobile Money
T00193,2024-05-24 00:00,H@rare Steel Supplies,EMP009,1238.3,ZIG,Safety equipment,INV-0111,Procurement,Cheque
T00194,2024-05-21 00:00,Shell Vendor B,EMP001,434000.0,USD,Emergency procurement no tender,INV-FRAUD-0193,Finance,Mobile Money
T00195,2024-01-10 00:00,Chitungwiza Parts,EMP001,34420.78,USD,Stationery,INV-0292,Operations,Cash
T00196,2023-03-17 00:00,Shell Vendor A,EMP009,17508.43,ZIG,Cleaning materials,INV-0061,Procurement,Cash
T00197,2023-12-14 00:00,Chitungwiza Parts,EMP003,25190.87,ZIG,Factory consumables,INV-0261,Procurement,Mobile Money
T00198,2023-05-21 00:00,Shell Vendor A,EMP001,342000.0,USD,No receipt provided emergency,INV-FRAUD-0197,Finance,Mobile Money
T00199,2024-09-23 00:00,Msasa Trading,EMP010,33321.51,ZIG,Spare parts,INV-0261,Operations,Mobile Money
T00200,2023-01-18 00:00,Gweru Components,EMP002,16702.43,ZIG,Stationery,INV-0158,Maintenance,EFT
T00201,2024-11-02 00:00,Mutare Fabricators,EMP010,35274.1,USD,Factory consumables,INV-0299,Finance,Mobile Money
T00202,2024-09-26 00:00,H@rare Steel Supplies,EMP003,34902.35,USD,Factory consumables,INV-0294,Finance,EFT
T00203,2023-11-18 00:00,Shell Vendor B,EMP002,471089.65,USD,Urgent sole supplier payment,INV-FRAUD-0202,Finance,Cash
T00204,2024-11-09 00:00,H@rare Steel Supplies,EMP006,21631.02,USD,Office supplies,INV-0273,Operations,Cheque
T00205,2024-11-28 00:00,Kwekwe Foundry,EMP005,29020.25,USD,Packaging materials,INV-0099,Operations,Cash
T00206,2023-08-19 00:00,Msasa Trading,EMP005,42378.55,USD,Factory consumables,INV-0163,Operations,Mobile Money
T00207,2023-10-08 00:00,Mutare Fabricators,EMP009,13092.96,USD,Stationery,INV-0177,Operations,Cash
T00208,2023-03-22 00:00,H@rare Steel Supplies,EMP002,326000.0,USD,Exception waiver approved,INV-FRAUD-0207,Operations,Cash
T00209,2023-10-06 00:00,Mutare Fabricators,EMP010,6349.83,ZIG,Factory consumables,INV-0026,Finance,Cash
T00210,2024-02-28 00:00,H@rare Steel Supplies,EMP001,390566.87,USD,Urgent sole supplier payment,INV-FRAUD-0209,Maintenance,Cash
T00211,2024-05-02 00:00,African Procurement Co,EMP005,21589.69,USD,Spare parts,INV-0031,Finance,EFT
T00212,2023-02-08 00:00,ZimBuild Materials,EMP007,41112.69,USD,Office supplies,INV-0204,Finance,Mobile Money
T00213,2023-10-24 00:00,Harare Steel Supplies,EMP005,39478.09,ZIG,Packaging materials,INV-0055,Operations,Cheque
T00214,2024-10-18 00:00,Shell Vendor A,EMP003,24539.86,USD,Workshop tools,INV-0140,Procurement,Cash
T00215,2024-04-14 00:00,Kwekwe Foundry,EMP003,29243.18,USD,Raw materials purchase,INV-0152,Finance,Cash
T00216,2024-10-16 00:00,H@rare Steel Supplies,EMP009,40387.52,USD,Spare parts,INV-0206,Finance,EFT
T00217,2024-05-03 00:00,African Procurement Co,EMP001,14697.35,USD,Cleaning materials,INV-0121,Operations,Mobile Money
T00218,2023-11-06 00:00,Mutare Fabricators,EMP001,26294.24,USD,Cleaning materials,INV-0121,Procurement,EFT
T00219,2023-06-13 00:00,Shell Vendor B,EMP005,18362.66,USD,Equipment maintenance,INV-0189,Finance,Cash
T00220,2024-05-04 00:00,Kwekwe Foundry,EMP010,7062.71,USD,Spare parts,INV-0282,Finance,Mobile Money
T00221,2024-11-27 00:00,Bulawayo Metals Ltd,EMP009,34012.33,ZIG,Safety equipment,INV-0186,Procurement,EFT
